Virtual Location,Priority,Site,Sloc,Excl. Safety,Active,Internal
BKK-OUT,1,26GA,1,,X,BKK-OUT
BKK-OUT,2,26FH,1,,X,BKK-OUT
BKK-OUT,3,26GC,1,,X,BKK-OUT
BKK-OUT,4,26GD,1,,X,BKK-OUT
BKK-OUT,5,26GE,1,,X,BKK-OUT
BKK-OUT,6,26GG,1,,X,BKK-OUT
BKK-OUT,7,26EJ,1,,X,BKK-OUT
BKK-OUT,8,26EH,1,,X,BKK-OUT
BKK-OUT,9,26EU,1,,X,BKK-OUT
BKK-OUT,10,26FE,1,,X,BKK-OUT
BKK-OUT,11,26FO,1,,X,BKK-OUT
BKK-OUT,12,26FQ,1,,X,BKK-OUT
BKK-OUT,13,26FR,1,,X,BKK-OUT
BS-CNX,1,2815,11,,X,BS-CNX
BS-CNX,2,2815,1001,,X,BS-CNX
BS-HKT,1,2510,11,,X,BS-HKT
BS-HKT,2,2510,1001,,X,BS-HKT
CNX-OUT,2,28DA,1,,X,CNX-OUT
CNX-OUT,3,28DD,1,,X,CNX-OUT
CNX-OUT,4,28DC,1,,X,CNX-OUT
CNX-OUT,5,28DB,1,,X,CNX-OUT
DMK-OUT,1,27DA,1,,X,DMK-OUT
DMK-OUT,2,27DE,1,,X,DMK-OUT
DMK-OUT,3,27DD,1,,X,DMK-OUT
WH-BKK,2,1110,11,,X,WH-BKK
WH-BKK,3,2111,11,,X,WH-BKK
WH-BKK,4,1112,11,,X,WH-BKK
WH-BKK,5,1315,11,,X,WH-BKK
WH-BKK,6,1113,11,,,WH-BKK
WH-BKK,7,2110,1001,,X,WH-BKK
WH-BKK,8,1110,1001,,X,WH-BKK
WH-BKK,9,2111,1001,,X,WH-BKK
WH-BKK,10,1112,1001,,X,WH-BKK
WH-BKK,11,1315,1001,,X,WH-BKK
WH-BKK,12,1113,1001,,X,WH-BKK